# 上市公司名称

# 深圳证券交易所
# http://www.szse.cn/main/marketdata/jypz/colist/

平安银行 ping'an'yin'xing
贝瑞基因 bei'rui'ji'yin
京蓝科技 jing'lan'ke'ji
锦龙股份 jin'long'gu'fen
丰乐种业 feng'le'zhong'ye
中兴商业 zhong'xing'shang'ye
黑芝麻 hei'zhi'ma
韶钢松山 shao'gang'song'shan
苏宁环球 su'ning'huan'qiu
中原传媒 zhong'yuan'chuan'mei
新能泰山 xin'neng'tai'shan
西安饮食 xi'an'yin'shi
湖南发展 hu'nan'fa'zhan
美锦能源 mei'jin'neng'yuan
京东方 jing'dong'fang
鲁泰 lu'tai
华东科技 hua'dong'ke'ji
国元证券 guo'yuan'zheng'quan
燕京啤酒 yan'jing'pi'jiu
四川美丰 si'chuan'mei'feng
泰禾集团 tai'he'ji'tuan
振华科技 zhen'hua'ke'ji
罗牛山 luo'niu'shan
中交地产 zhong'jiao'di'chan
南风化工 nan'feng'hua'gong
航发控制 hang'fa'kong'zhi
普洛药业 pu'luo'yao'ye
国海证券 guo'hai'zheng'quan
锌业股份 xin'ye'gu'fen
西藏发展 xi'cang'fa'zhan
漳州发展 zhang'zhou'fa'zhan
三维 san'wei
新华制药 xin'hua'zhi'yao
浩物股份 hao'wu'gu'fen
中色股份 zhong'se'gu'fen
中百集团 zhong'bai'ji'tuan
斯太尔 si'tai'er
本钢板材 ben'gang'ban'cai
西藏矿业 xi'cang'kuang'ye
通化金马 tong'hua'jin'ma
漳泽电力 zhang'ze'dian'li
中航飞机 zhong'hang'fei'ji
杭汽轮 hang'qi'lun
广发证券 guang'fa'zheng'quan
中核科技 zhong'he'ke'ji
新兴铸管 xin'xing'zhu'guan
三毛派神 san'mao'pai'shen
平能 ping'neng
美达股份 mei'da'gu'fen
长江证券 chang'jiang'zheng'quan
武汉中商 wu'han'zhong'shang
北新建材 bei'xin'jian'cai
北大医药 bei'da'yi'yao
万年青 wan'nian'qing
泰合健康 tai'he'jian'kang
甘肃电投 gan'su'dian'tou
盐湖股份 yan'hu'gu'fen
华闻传媒 hua'wen'chuan'mei
英洛华 ying'luo'hua
凯撒旅游 kai'sa'lv'you
中国武夷 zhong'guo'wu'yi
中水渔业 zhong'shui'yu'ye
酒鬼酒 jiu'gui'jiu
一汽轿车 yi'qi'jiao'che
四川九洲 si'chuan'jiu'zhou
北京文化 bei'jing'wen'hua
金宇 jin'yu
银河生物 yin'he'sheng'wu
云铝股份 yun'lv'gu'fen
新城 xin'cheng
创维数字 chuang'wei'shu'zi
冰轮环境 bing'lun'huan'jing
陕西金叶 shan'xi'jin'ye
德展健康 de'zhan'jian'kang
美利云 mei'li'yun
智慧农业 zhi'hui'nong'ye
方大化工 fang'da'hua'gong
岳阳兴长 yue'yang'xing'chang
神雾节能 shen'wu'jie'neng
京山轻机 jing'shan'qing'ji
山东海化 shan'dong'hai'hua
超声电子 chao'sheng'dian'zi
太钢不锈 tai'gang'bu'xiu
启迪桑德 qi'di'sang'de
东莞控股 dong'wan'kong'gu
天音控股 tian'yin'kong'gu
鲁西化工 lu'xi'hua'gong
五矿稀土 wu'kuang'xi'tu
贵糖股份 gui'tang'gu'fen
长城动漫 chang'cheng'dong'man
鑫茂科技 xin'mao'ke'ji
秦川机床 qin'chuan'ji'chuang
财信发展 cai'xin'fa'zhan
中信国安 zhong'xin'guo'an
承德露露 cheng'de'lu'lu
华茂股份 hua'mao'gu'fen
高鸿股份 gao'hong'gu'fen
石化机械 shi'hua'ji'xie
冀东装备 ji'dong'zhuang'bei
五粮液 wu'liang'ye
国风塑业 guo'feng'su'ye
顺鑫农业 shun'xin'nong'ye
海印股份 hai'yin'gu'fen
银星能源 yin'xing'neng'yuan
三湘印象 san'xiang'yin'xiang
安凯客车 an'kai'ke'che
张裕 zhang'yu
吉电股份 ji'dian'gu'fen
新希望 xin'xi'wang
天山股份 tian'shan'gu'fen
云南铜业 yun'nan'tong'ye
潍柴重机 wei'chai'zhong'ji
中广核技 zhong'guang'he'ji
华联股份 hua'lian'gu'fen
湖北能源 hu'bei'neng'yuan
同力水泥 tong'li'shui'ni
海南高速 hai'nan'gao'su
中鼎股份 zhong'ding'gu'fen
峨眉山 e'mei'shan
茂业通信 mao'ye'tong'xin
法尔胜 fa'er'sheng
欢瑞世纪 huan'rui'shi'ji
东凌国际 dong'ling'guo'ji
双汇发展 shuang'hui'fa'zhan
津滨发展 jin'bin'fa'zhan
鞍钢股份 an'gang'gu'fen
赣能股份 gan'neng'gu'fen
现代投资 xian'dai'tou'zi
航天科技 hang'tian'ke'ji
新洋丰 xin'yang'feng
云内动力 yun'na'dong'li
厦门港务 xia'men'gang'wu
浙商中拓 zhe'shang'zhong'tuo
景峰医药 jing'feng'yi'yao
数源科技 shu'yuan'ke'ji
大亚圣象 da'ya'sheng'xiang
南宁糖业 nan'ning'tang'ye
天化 tian'hua
钱江摩托 qian'jiang'mo'tuo
山大华特 shan'da'hua'te
电广传媒 dian'guang'chuan'mei
嘉凯城 jia'kai'cheng
金陵药业 jin'ling'yao'ye
南方汇通 nan'fang'hui'tong
海信科龙 hai'xin'ke'long
佳电 jia'dian
河北宣工 he'bei'xuan'gong
众合科技 zhong'he'ke'ji
福星股份 fu'xing'gu'fen
一汽夏利 yi'qi'xia'li
中钢国际 zhong'gang'guo'ji
兰州黄河 lan'zhou'huang'he
中粮生化 zhong'liang'sheng'hua
中关村 zhong'guan'cun
华菱 hua'ling
神火股份 shen'huo'gu'fen
四川双马 si'chuan'shuang'ma
华西股份 hua'xi'gu'fen
冀中能源 ji'zhong'neng'yuan
紫光股份 zi'guang'gu'fen
凯迪生态 kai'di'sheng'tai
南天信息 nan'tian'xin'xi
新乡化纤 xin'xiang'hua'xian
建峰 jian'feng
中国重汽 zhong'guo'zhong'qi
广济药业 guang'ji'yao'ye
河化 he'hua
欣龙控股 xin'long'kong'gu
中通客车 zhong'tong'ke'che
东方能源 dong'fang'neng'yuan
首钢股份 shou'gang'gu'fen
锡业股份 xi'ye'gu'fen
中南建设 zhong'nan'jian'she
东方钽业 dong'fang'tan'ye
华东医药 hua'dong'yi'yao
天保基建 tian'bao'ji'jian
长源电力 chang'yuan'dian'li
盈峰环境 ying'feng'huan'jing
蓝焰控股 lan'yan'kong'gu
安泰科技 an'tai'ke'ji
中科三环 zhong'ke'san'huan
高升控股 gao'sheng'kong'gu
中基 zhong'ji
佛塑科技 fo'su'ke'ji
银泰资源 yin'tai'zi'yuan
华铁股份 hua'tie'gu'fen
浪潮信息 lang'chao'xin'xi
桂林旅游 gui'lin'lv'you
中弘股份 zhong'hong'gu'fen
众泰汽车 zhong'tai'qi'che
银亿股份 yin'yi'gu'fen
中绒 zhong'rong
西山煤电 xi'shan'mei'dian
大庆华科 da'qing'hua'ke
粤华包 yue'hua'bao
越秀金控 yue'xiu'jin'kong
华工科技 hua'gong'ke'ji
九芝堂 jiu'zhi'tang
诚志股份 cheng'zhi'gu'fen
中鲁 zhong'lu
闽东电力 min'dong'dian'li
皇台酒业 huang'tai'jiu'ye
中国中期 zhong'guo'zhong'qi
新大陆 xin'da'lu
隆平高科 long'ping'gao'ke
华润三九 hua'run'san'jiu
宗申动力 zong'shen'dong'li
豫能控股 yu'neng'kong'gu
招商公路 zhao'shang'gong'lu
招商蛇口 zhao'shang'she'kou
新和成 xin'he'cheng
鸿达兴业 hong'da'xing'ye
伟星股份 wei'xing'gu'fen
华邦健康 hua'bang'jian'kang
德豪润达 de'hao'run'da
精功科技 jing'gong'ke'ji
华兰生物 hua'lan'sheng'wu
大族激光 da'zu'ji'guang
天奇股份 tian'qi'gu'fen
传化智联 chuan'hua'zhi'lian
盾安环境 dun'an'huan'jing
凯恩股份 kai'en'gu'fen
中航机电 zhong'hang'ji'dian
永新股份 yong'xin'gu'fen
霞客环保 xia'ke'huan'bao
世荣兆业 shi'rong'zhao'ye
东信和平 dong'xin'he'ping
华信国际 hua'xin'guo'ji
亿帆医药 yi'fan'yi'yao
京新药业 jing'xin'yao'ye
中捷资源 zhong'jie'zi'yuan
科华生物 ke'hua'sheng'wu
海特高新 hai'te'gao'xin
苏宁云商 su'ning'yun'shang
航天电器 hang'tian'dian'qi
山东威达 shan'dong'wei'da
分众传媒 fen'zhong'chuan'mei
思源电气 si'yuan'dian'qi
七匹狼 qi'pi'lang
达安基因 da'an'ji'yin
巨轮智能 ju'lun'zhi'neng
苏泊尔 su'bo'er
丽江旅游 li'jiang'lv'you
旺能环境 wang'neng'huan'jing
华帝股份 hua'di'gu'fen
联创电子 lian'chuang'dian'zi
久联发展 jiu'lian'fa'zhan
双鹭药业 shuang'lu'yao'ye
黔源电力 qian'yuan'dian'li
南京港 nan'jing'gang
登海种业 deng'hai'zhong'ye
华孚时尚 hua'fu'shi'shang
兔宝宝 tu'bao'bao
美年健康 mei'nian'jian'kang
国光电器 guo'guang'dian'qi
轴研科技 zhou'yan'ke'ji
宝鹰股份 bao'ying'gu'fen
宁波华翔 ning'bo'hua'xiang
紫光国芯 zi'guang'guo'xin
三花智控 san'hua'zhi'kong
中工国际 zhong'gong'guo'ji
同洲电子 tong'zhou'dian'zi
云南能投 yun'nan'neng'tou
德美化工 de'mei'hua'gong
得润电子 de'run'dian'zi
横店东磁 heng'dian'dong'ci
中钢天源 zhong'gang'tian'yuan
威尔泰 wei'er'tai
云南旅游 yun'nan'lv'you
粤水电 yue'shui'dian
浙江交科 zhe'jiang'jiao'ke
宏润建设 hong'run'jian'she
远光软件 yuan'guang'ruan'jian
华峰氨纶 hua'feng'an'lun
东华软件 dong'hua'ruan'jian
瑞泰科技 rui'tai'ke'ji
景兴纸业 jing'xing'zhi'ye
黑猫股份 hei'mao'gu'fen
獐子岛 zhang'zi'dao
众和 zhong'he
长城影视 chang'cheng'ying'shi
凯瑞德 kai'rui'de
软控股份 ruan'kong'gu'fen
国轩高科 guo'xuan'gao'ke
沙钢股份 sha'gang'gu'fen
雪莱特 xue'lai'te
大港股份 da'gang'gu'fen
太阳纸业 tai'yang'zhi'ye
苏州固锝 su'zhou'gu'de
中材科技 zhong'cai'ke'ji
金螳螂 jin'tang'lang
万邦德 wan'bang'de
孚日股份 fu'ri'gu'fen
海鸥卫浴 hai'ou'wei'yu
万丰奥威 wan'feng'ao'wei
东方海洋 dong'fang'hai'yang
新野纺织 xin'ye'fang'zhi
鲁阳节能 lu'yang'jie'neng
新海宜 xin'hai'yi
金智科技 jin'zhi'ke'ji
江苏国泰 jiang'su'guo'tai
中泰化学 zhong'tai'hua'xue
国脉科技 guo'mai'ke'ji
青岛金王 qing'dao'jin'wang
生意宝 sheng'yi'bao
南岭民爆 nan'ling'min'bao
山河智能 shan'he'zhi'neng
浔兴股份 xun'xing'gu'fen
海翔药业 hai'xiang'yao'ye
天康生物 tian'kang'sheng'wu
广东鸿图 guang'dong'hong'tu
冠福股份 guan'fu'gu'fen
广博股份 guang'bo'gu'fen
恒宝股份 heng'bao'gu'fen
信隆健康 xin'long'jian'kang
莱宝高科 lai'bao'gao'ke
沃华医药 wo'hua'yi'yao
沧州明珠 cang'zhou'ming'zhu
兴化股份 xing'hua'gu'fen
三钢闽光 san'gang'min'guang
威海广泰 wei'hai'guang'tai
三变科技 san'bian'ke'ji
天润数娱 tian'run'shu'yu
罗平锌电 luo'ping'xin'dian
三维通信 san'wei'tong'xin
中国海诚 zhong'guo'hai'cheng
东港股份 dong'gang'gu'fen
紫鑫药业 zi'xin'yao'ye
康强电子 kang'qiang'dian'zi
韵达股份 yun'da'gu'fen
科陆电子 ke'lu'dian'zi
天马股份 tian'ma'gu'fen
梦网集团 meng'wang'ji'tuan
天邦股份 tian'bang'gu'fen
湘潭电化 xiang'tan'dian'hua
银轮股份 yin'lun'gu'fen
南极电商 nan'ji'dian'shang
露天煤业 lu'tian'mei'ye
中环股份 zhong'huan'gu'fen
沃尔核材 wo'er'he'cai
利欧股份 li'ou'gu'fen
恒星科技 heng'xing'ke'ji
广宇集团 guang'yu'ji'tuan
普林 pu'lin
东南网架 dong'nan'wang'jia
安纳达 an'na'da
麦达数字 mai'da'shu'zi
顺络电子 shun'luo'dian'zi
拓邦股份 tuo'bang'gu'fen
东华科技 dong'hua'ke'ji
贤丰控股 xian'feng'kong'gu
宁波银行 ning'bo'yin'xing
印纪传媒 yin'ji'chuan'mei
宏达高科 hong'da'gao'ke
中核钛白 zhong'he'tai'bai
荣盛发展 rong'sheng'fa'zhan
新光圆成 xin'guang'yuan'cheng
北纬科技 bei'wei'ke'ji
西部材料 xi'bu'cai'liao
通润装备 tong'run'zhuang'bei
北斗星通 bei'dou'xing'tong
广电运通 guang'dian'yun'tong
石基信息 shi'ji'xin'xi
报喜鸟 bao'xi'niao
湖南黄金 hu'nan'huang'jin
通富微电 tong'fu'wei'dian
正邦科技 zheng'bang'ke'ji
汉钟精机 han'zhong'jing'ji
三特索道 san'te'suo'dao
常铝股份 chang'lv'gu'fen
远望谷 yuan'wang'gu
悦心健康 yue'xin'jian'kang
中航三鑫 zhong'hang'san'xin
宁波东力 ning'bo'dong'li
红宝丽 hong'bao'li
莱茵生物 lai'yin'sheng'wu
东方锆业 dong'fang'gao'ye
深圳惠程 shen'zhen'hui'cheng
智光电气 zhi'guang'dian'qi
芭田股份 ba'tian'gu'fen
楚江新材 chu'jiang'xin'cai
澳洋科技 ao'yang'ke'ji
创新医疗 chuang'xin'yi'liao
游族网络 you'zu'wang'luo
东方网络 dong'fang'wang'luo
江特电机 jiang'te'dian'ji
御银股份 yu'yin'gu'fen
延华智能 yan'hua'zhi'neng
中航光电 zhong'hang'guang'dian
纳思达 na'si'da
粤传媒 yue'chuan'mei
云海金属 yun'hai'jin'zhu
怡亚通 yi'ya'tong
海得控制 hai'de'kong'zhi
华天科技 hua'tian'ke'ji
全聚德 quan'ju'de
广百股份 guang'bai'gu'fen
巴士在线 ba'shi'zai'xian
利达光电 li'da'guang'dian
成飞集成 cheng'fei'ji'cheng
劲嘉股份 jin'jia'gu'fen
融捷股份 rong'jie'gu'fen
如意集团 ru'yi'ji'tuan
武汉凡谷 wu'han'fan'gu
二三四五 er'san'si'wu
方正电机 fang'zheng'dian'ji
证通电子 zheng'tong'dian'zi
嘉应制药 jia'ying'zhi'yao
东晶电子 dong'jing'dian'zi
云投生态 yun'tou'sheng'tai
九鼎新材 jiu'ding'xin'cai
金风科技 jin'feng'ke'ji
海亮股份 hai'liang'gu'fen
大连重工 da'lian'zhong'gong
国统股份 guo'tong'gu'fen
海利得 hai'li'de
准油 zhun'you
合肥城建 he'fei'cheng'jian
达意隆 da'yi'long
飞马国际 fei'ma'guo'ji
宏达新材 hong'da'xin'cai
南洋股份 nan'yang'gu'fen
特尔佳 te'er'jia
大立科技 da'li'ke'ji
诺普信 nuo'pu'xin
三全食品 san'quan'shi'pin
合力泰 he'li'tai
拓日新能 tuo'ri'xin'neng
恒康医疗 heng'kang'yi'liao
天宝食品 tian'bao'shi'pin
东华能源 dong'hua'neng'yuan
福晶科技 fu'jing'ke'ji
鱼跃医疗 yu'yue'yi'liao
三力士 san'li'shi
濮耐股份 pu'nai'gu'fen
江南化工 jiang'nan'hua'gong
奥特迅 ao'te'xun
合兴包装 he'xing'bao'zhuang
鸿博股份 hong'bo'gu'fen
科大讯飞 ke'da'xun'fei
奥维通信 ao'wei'tong'xin
启明信息 qi'ming'xin'xi
塔牌集团 ta'pai'ji'tuan
民和股份 min'he'gu'fen
安妮股份 an'ni'gu'fen
大华股份 da'hua'gu'fen
恒邦股份 heng'bang'gu'fen
天威视讯 tian'wei'shi'xun
奥特佳 ao'te'jia
威华股份 wei'hua'gu'fen
歌尔股份 ge'er'gu'fen
九阳股份 jiu'yang'gu'fen
通产丽星 tong'chan'li'xing
滨江集团 bin'jiang'ji'tuan
澳洋顺昌 ao'yang'shun'chang
北化股份 bei'hua'gu'fen
帝龙文化 di'long'wen'hua
东数 dong'shu
大洋电机 da'yang'dian'ji
联化科技 lian'hua'ke'ji
步步高 bu'bu'gao
上海莱士 shang'hai'lai'shi
川大智胜 chuan'da'zhi'sheng
泰和新材 tai'he'xin'cai
海陆重工 hai'lu'zhong'gong
兆新股份 zhao'xin'gu'fen
利尔化学 li'er'hua'xue
升达林业 sheng'da'lin'ye
德奥通航 de'ao'tong'hang
拓维信息 tuo'wei'xin'xi
恩华药业 en'hua'yao'ye
大东南 da'dong'nan
新华都 xin'hua'dou
西仪股份 xi'yi'gu'fen
浙富控股 zhe'fu'kong'gu
陕天然气 shan'tian'ran'qi
卫士通 wei'shi'tong
美邦服饰 mei'bang'fu'shi
华明装备 hua'ming'zhuang'bei
东方雨虹 dong'fang'yu'hong
川润股份 chuan'run'gu'fen
水晶光电 shui'jing'guang'dian
华昌化工 hua'chang'hua'gong
桂林三金 gui'lin'san'jin
万马股份 wan'ma'gu'fen
友阿股份 you'a'gu'fen
神开股份 shen'kai'gu'fen
久其软件 jiu'qi'ruan'jian
联络互动 lian'luo'hu'dong
光迅科技 guang'xun'ke'ji
博深工具 bo'shen'gong'ju
天润曲轴 tian'run'qu'zhou
亚太股份 ya'tai'gu'fen
世联行 shi'lian'xing
保龄宝 bao'ling'bao
奇正藏药 qi'zheng'cang'yao
超华科技 chao'hua'ke'ji
宇顺电子 yu'shun'dian'zi
中科新材 zhong'ke'xin'cai
星期六 xing'qi'liu
奥飞娱乐 ao'fei'yu'le
罗莱生活 luo'lai'sheng'huo
信立泰 xin'li'tai
精艺股份 jing'yi'gu'fen
辉煌科技 hui'huang'ke'ji
博云新材 bo'yun'xin'cai
中电鑫龙 zhong'dian'xin'long
圣农发展 sheng'nong'fa'zhan
太阳电缆 tai'yang'dian'lan
齐心集团 qi'xin'ji'tuan
西部建设 xi'bu'jian'she
美盈森 mei'ying'sen
洋河股份 yang'he'gu'fen
南国置业 nan'guo'zhi'ye
云网 yun'wang
北新路桥 bei'xin'lu'qiao
威创股份 wei'chuang'gu'fen
中利集团 zhong'li'ji'tuan
东方园林 dong'fang'yuan'lin
海大集团 hai'da'ji'tuan
三泰 san'tai
日海通讯 ri'hai'tong'xun
南山控股 nan'shan'kong'gu
焦点科技 jiao'dian'ke'ji
键桥通讯 jian'qiao'tong'xun
众生药业 zhong'sheng'yao'ye
久立特材 jiu'li'te'cai
乐通股份 le'tong'gu'fen
海峡股份 hai'xia'gu'fen
华英农业 hua'ying'nong'ye
理工环科 li'gong'huan'ke
雅百特 ya'bai'te
普利特 pu'li'te
洪涛股份 hong'tao'gu'fen
永太科技 yong'tai'ke'ji
富安娜 fu'an'na
新朋股份 xin'peng'gu'fen
皇氏集团 huang'shi'ji'tuan
得利斯 de'li'si
皖通科技 wan'tong'ke'ji
仙琚制药 xian'ju'zhi'yao
